threshold,recall,precision,f1
0.0,0.9999999997558577,0.9999999997558577,0.9999994997561114
0.02,0.9999999997555017,0.9999999997555017,0.9999994997557485
0.04,0.9999999997546037,0.9999606899556932,0.9999798376246484
0.06,0.9996427628869375,0.9999999997536076,0.9998208424105074
0.08,0.9999185495596223,0.999964056589386,0.9999407864164004
0.1,0.9996431295210835,0.999959929134473,0.9998009787397534
0.12,0.9996373223392843,0.9999691486819579,0.9998026887024148
0.14,0.9996074821835134,0.999631044852348,0.9996186855944038
0.16,0.9998830174859015,0.9996274752961283,0.9997546814479085
0.18,0.9999072514426618,0.9992084279186156,0.9995571330409548
0.2,0.9999217698662867,0.9985857800497127,0.999252752266963
0.22,0.9999494322089909,0.9977720503250357,0.9988588919662205
0.24,0.9999328674549465,0.997098562724213,0.9985129809963202
0.26,0.9999708724270068,0.9943419599938179,0.9971477269398904
0.28,0.9999370855097177,0.9947945081858213,0.9973583777897405
0.3,0.9999630629623345,0.992740890130583,0.9963379956362266
0.32,0.9998306538546267,0.9924395921524367,0.9961205710537177
0.34,0.9999391962595112,0.9932510329989861,0.9965829525331672
0.36,0.9997501517283097,0.9929772989451904,0.9963512427412263
0.38,0.999805553228202,0.994312109788724,0.9970504305618259
0.4,0.99919681627887,0.9955239398195147,0.997355826618437
0.42,0.9986895430917159,0.995889176251856,0.9972860353598321
0.44,0.9978912735909926,0.9971715701837774,0.9975294489287887
0.46,0.9982155243929217,0.9971473272226822,0.9976795065221012
0.48,0.9965415167892347,0.9977251284873278,0.9971309903674532
0.5,0.998873573810594,0.9951348796224393,0.9969987026241495
0.52,0.9961074442868787,0.9944192076679992,0.9952600094962745
0.54,0.996268401657856,0.9955717318260251,0.9959173637592769
0.56,0.9983126400584097,0.9926955654089468,0.9954930003892082
0.58,0.9990995222637309,0.9928611736228539,0.9959680331891086
0.6,0.9996454746782626,0.9879065103456653,0.993737546760695
0.62,0.9974526856977448,0.9855109996167969,0.9914426176524546
0.64,0.9981471862191759,0.9865404638427795,0.992303574227403
0.66,0.9997299669630286,0.9854415338202795,0.9925286754029019
0.68,0.999893976404366,0.9778857473612778,0.9887568788626613
0.7,0.9998128349757949,0.9793548249683577,0.9894694827864987
0.72,0.9972408698819929,0.9754864323910288,0.9862250006035078
0.74,0.9987779151832233,0.9753279946339336,0.9869007724786436
0.76,0.999874856484722,0.9721879038319071,0.9858085258404733
0.78,0.9998752649058629,0.9665043600497729,0.9828821313527362
0.8,0.9999087579152662,0.9657732027447433,0.9825019305875187
0.82,0.9932145838362971,0.9728283901862204,0.982846921849813
0.84,0.9973003104335144,0.9796544960075844,0.9883589493597787
0.86,0.9991996964482159,0.9722998582510523,0.9854911070506605
0.88,0.9987417053237833,0.9672590249447078,0.9826808223824923
0.9,0.9997537391076396,0.931717145505975,0.9642835761276629
0.92,0.9999999749999982,0.9127507222477667,0.9543375911364241
0.94,0.9993638260443178,0.9825953795743797,0.9907947378045667
0.96,0.9999998888889047,0.8432337861313416,0.9143023439557756
0.98,0.4999997500001268,0.9999990000009982,0.6666657777782958
1.0,0.0,0.0,0.0
