threshold,recall,precision,f1
0.0,0.9999999997558576,0.9999999997558576,0.999999499756102
0.02,0.9999999997554364,0.9982487277441555,0.9991226832011821
0.04,0.9999999997545063,0.9944964047442122,0.9972362918277422
0.06,0.9986001939466658,0.9906885014492842,0.994615380827711
0.08,0.9964829741763063,0.9852308590859168,0.990795066269524
0.1,0.9927403398551504,0.980314533699545,0.986431099648317
0.12,0.9888505282860351,0.9735035732917152,0.9810262789319483
0.14,0.9838910733176756,0.9662118639239216,0.9748383955863203
0.16,0.97783270778708,0.9577494814279659,0.9675058305782922
0.18,0.9701646031051977,0.9488136548803432,0.959132215592336
0.2,0.9611298376845039,0.9384675372187721,0.9493609094749538
0.22,0.9508503671644372,0.9272065377192605,0.9385060232943062
0.24,0.9390130771171497,0.914347459510162,0.9260525151234283
0.26,0.9249800752517396,0.8994345128466633,0.9114446075083016
0.28,0.9098849617912882,0.8845423821222035,0.8962945702335307
0.3,0.895102303914978,0.8675301138539439,0.8800682705773378
0.32,0.8815977014487553,0.8492059748504646,0.8636918036979009
0.34,0.8665933781310703,0.8295248188927689,0.8458024392087691
0.36,0.851042534984503,0.8090909398994227,0.8271650376280277
0.38,0.8351256720963877,0.7860093024639216,0.806828896038564
0.4,0.8184612701786327,0.7622815178299998,0.7857225686827286
0.42,0.7998728098678537,0.7369742712436712,0.7627716633190914
0.44,0.7789733635522498,0.7117285780010433,0.7387358419045079
0.46,0.7556046903752985,0.6853380240833059,0.712757683811019
0.48,0.7300558167034292,0.6578713695796834,0.6851722385537452
0.5,0.7025807109180549,0.627663298333848,0.6548820272665651
0.52,0.6730412488748698,0.599276482105306,0.6248144844080155
0.54,0.644351303863057,0.5699885431661913,0.5946305550538163
0.56,0.6161864541613664,0.5401214637937354,0.5642628546895696
0.58,0.5890197817241106,0.5140006881052726,0.5369206368579323
0.6,0.5654613236503696,0.4921170491030991,0.5137226312428987
0.62,0.5461635981047459,0.4764617456502319,0.49639817611175047
0.64,0.5296954904300075,0.46712100745079355,0.4839701875447726
0.66,0.5140367420177161,0.4611339640718535,0.4732995152625006
0.68,0.49828125574748117,0.45829144317619325,0.4638717366362545
0.7,0.48147415307890934,0.46063786932023143,0.4563826849683785
0.72,0.4628092126730684,0.4589499126795487,0.4452420018989033
0.74,0.4453203449090549,0.4596249511176642,0.43531573050579253
0.76,0.427066757196279,0.46424501507971494,0.425977635703416
0.78,0.402684483110918,0.4749040472218648,0.41386925860829177
0.8,0.37773959660808837,0.48981052282840687,0.4004558945191957
0.82,0.34686808748907033,0.5066113566269076,0.38404969609603085
0.84,0.31877019005676127,0.5147015879961488,0.36418668492593226
0.86,0.2939179972054704,0.5087445633422225,0.3411922186875519
0.88,0.26102042688964977,0.48606013203089904,0.31018651284004206
0.9,0.20849572027434884,0.45103905748894507,0.26023278193703275
0.92,0.1383674912997026,0.34378019209539795,0.18482545957879418
0.94,0.004459557665364795,0.07852189453428726,0.008265142991687605
0.96,0.0,0.0,0.0
0.98,0.0,0.0,0.0
1.0,0.0,0.0,0.0
