threshold,recall,precision,f1
0.0,0.9999999997558576,0.9999999997558576,0.999999499756102
0.02,0.9999999997554364,0.9982487277441555,0.9991226832011821
0.04,0.9999999997545063,0.9944964047442122,0.9972362918277422
0.06,0.9999999997533089,0.9897083165525454,0.9948140434342635
0.08,0.9999999997514891,0.982509269210182,0.9911471162259039
0.1,0.9999999997493978,0.974441915719091,0.9869975108277281
0.12,0.9999999997467438,0.9643859156132888,0.9817786088122907
0.14,0.999999999743716,0.9531125953937474,0.9758600322457311
0.16,0.9999999997400839,0.939991023514737,0.96888614103698
0.18,0.9999999997359528,0.9255703754235663,0.9611078861804061
0.2,0.9999999997311081,0.9091030056960674,0.952082609312999
0.22,0.9999999997256089,0.8912158990318406,0.9420998885281137
0.24,0.999999999719207,0.8712476767864317,0.9307222799541014
0.26,0.9999999997114949,0.8484377253269341,0.9174059907303912
0.28,0.9993595128951955,0.8242210302101624,0.902605791004908
0.3,0.9952691727852269,0.7966578189438451,0.8838424446927026
0.32,0.9889186967918389,0.7703890388281565,0.8645249209906033
0.34,0.9737665281397009,0.7497956843830429,0.8451381858151298
0.36,0.9549683816045785,0.7293832523571111,0.8243350654741837
0.38,0.9307857985242562,0.7144780754631992,0.80502621405177
0.4,0.908485123188718,0.696814930773526,0.7846010144564393
0.42,0.8870007955499053,0.6757748325940341,0.7621644792126184
0.44,0.8655044994178971,0.6535276810507031,0.7389219335597363
0.46,0.8441049096676979,0.6288711233909418,0.714010881970364
0.48,0.8204931043989989,0.604069649137273,0.6882032774586252
0.5,0.7933854762725464,0.5780834818992135,0.6601258731601347
0.52,0.7596180735175434,0.5542620502452371,0.6311709972334426
0.54,0.7206388383497396,0.5304363624267093,0.6003237861928364
0.56,0.6782808093726631,0.5047181375876862,0.5668884355330159
0.58,0.6377227175859513,0.4787647871343639,0.5346650447395196
0.6,0.6039795926155064,0.45163129823456893,0.5043408287301246
0.62,0.5738329013059156,0.42727572179409984,0.47732140014294455
0.64,0.5505467637780199,0.4137364377319633,0.4600829308681908
0.66,0.53241415418083,0.40459101659807,0.44711803386679505
0.68,0.5179323107735263,0.39858009001990125,0.43702060512224183
0.7,0.5059060993854684,0.3960144056992113,0.42985762011802875
0.72,0.49255760349874717,0.3895751028925494,0.4193047997279466
0.74,0.4809281476446748,0.38512429028060113,0.40999019143760623
0.76,0.46800434325662443,0.3774676153832711,0.397508504190541
0.78,0.45351539257389917,0.36998398514027986,0.38343986029982
0.8,0.43759212280756377,0.3638978068463099,0.36772920176270424
0.82,0.41364815240598674,0.36061017368656517,0.34888340851348704
0.84,0.38666612744034584,0.3550268858637141,0.32145194621157996
0.86,0.35343747460228114,0.3229825300325597,0.2810812495045988
0.88,0.32161485371561627,0.2816687283530965,0.241684295801533
0.9,0.2867156071550629,0.2116015352886716,0.20117190328951054
0.92,0.21812243603131098,0.1642767152671283,0.15378530142551197
0.94,0.11070039735373433,0.0979976117996462,0.07517960408991396
0.96,0.003437185443003725,0.009672237338159308,0.002426530870970734
0.98,0.0,0.0,0.0
1.0,0.0,0.0,0.0
