threshold,recall,precision,f1
0.0,0.9999999997558577,0.9999999997558577,0.9999994997561114
0.02,0.9999999997555017,0.9999999997555017,0.9999994997557485
0.04,0.9999999997546037,0.9999513304811773,0.9999751561652538
0.06,0.99891324760114,0.9999999997534269,0.999455735285289
0.08,0.9997310246984175,0.9999999997517945,0.9998649764930194
0.1,0.9977480913536185,0.9999923704523285,0.9988684175739461
0.12,0.9976310217843927,0.9999922909986071,0.9988095393070278
0.14,0.9970766226878724,0.9999941442682705,0.9985326937788143
0.16,0.9962585503509279,0.9999900684308859,0.9981201277006283
0.18,0.9958807657572083,0.9999979765204167,0.9979345107114836
0.2,0.995437963449356,0.9999752147633824,0.9977007978159752
0.22,0.9952234765369375,0.9999724862917199,0.9975917005066992
0.24,0.9945189754094909,0.9997366260584083,0.9971203647804048
0.26,0.9963702925711443,0.9992451215012402,0.9978049471020167
0.28,0.9952860961273231,0.9994807120684757,0.997378266241436
0.3,0.9964639248201507,0.9989709136657814,0.9977150627596891
0.32,0.9944923530461965,0.9990869682733243,0.9967834258086207
0.34,0.9958487871648044,0.9997615212517653,0.9978004460336495
0.36,0.994700285031449,0.9995305718139695,0.9971086182112047
0.38,0.996274156414811,0.9995597724336542,0.9979131988900499
0.4,0.9943609835974533,0.9996738689909626,0.9970090982207832
0.42,0.9935479708328385,0.999791258872358,0.9966584096722432
0.44,0.9934859534694421,0.9996187579779375,0.9965409772276393
0.46,0.9960758066055075,0.9989448447132165,0.9975065586546243
0.48,0.9968441896575514,0.9982106567128363,0.9975248374842076
0.5,0.9985013215881936,0.9971498530081885,0.9978233785439782
0.52,0.9952766842203599,0.9958290461028023,0.9955494491227846
0.54,0.9975236270295138,0.9954932507638196,0.996504501518424
0.56,0.9982379230491443,0.9919725655089883,0.9950915835362718
0.58,0.9993519286514343,0.9936447807667446,0.9964874581217107
0.6,0.9998114222386696,0.9855235762978893,0.9926117306972381
0.62,0.9983296295890793,0.979549422844552,0.9888439266521653
0.64,0.999045800314283,0.9781087616918667,0.9884593943678003
0.66,0.9997922819652808,0.9741911390916778,0.9868182263938359
0.68,0.999976438000695,0.9645731500960086,0.9819488477514438
0.7,0.9999197854174465,0.9637298395100508,0.9814777900375747
0.72,0.9967043727494976,0.9531376419707202,0.974417074949798
0.74,0.9975026986650439,0.9493944821612353,0.9728275482425037
0.76,0.9994785773384304,0.9422320881308062,0.9699952606412477
0.78,0.9997255867144641,0.9384620147712469,0.9681006474028492
0.8,0.9999087579152662,0.9259210499276699,0.9614619239168004
0.82,0.98838366598524,0.9310248417046157,0.9588096028086225
0.84,0.9925060449628409,0.9279343616865838,0.9590642527926067
0.86,0.9995690635961852,0.919317108154377,0.9577361495117234
0.88,0.9999999890109882,0.9267073406250719,0.9619004809094475
0.9,0.9999999838709667,0.9089425613667724,0.9522635678903837
0.92,0.9967557002719449,0.8895426355077531,0.9399705281709241
0.94,0.9977734953217775,0.9613113726301824,0.979115471048817
0.96,0.9999998888889047,0.8171408001940006,0.8993451076829414
0.98,0.9999995000002536,0.9999995000002536,0.9999990000005002
1.0,0.0,0.0,0.0
