dataset,elapsed_ms_total,inflation,mean_cost_sum,mean_cost_sum_astar,mean_path_len_cells,mean_path_len_cells_astar,mean_path_len_cells_rrtstar,mean_time_ms,mean_time_ms_astar,mean_time_ms_rrtstar,n,num_scenes,planner,pred_dir,run_tag,source,split,success_rate,success_rate_astar,success_rate_rrtstar,threshold
kitti,17020.636900007958,2,,6.690031988676204,,28.14763605150575,33.95689431846693,,0.7965146195363142,38.141098153061186,433,433,both,,,labels,val,,0.6951501154734411,0.6951501154734411,0.4
kitti,13502.649500005646,2,,8.54399499843518,,30.319414562336593,37.07958427656771,,0.9844756237433713,29.74499468748107,433,433,both,,,labels,val,,0.8314087759815243,0.8314087759815243,0.5
kitti,19968.40680000605,2,,7.693722348712211,,30.374347784930045,33.74339014940926,,0.7554087325255489,45.23177690509337,433,433,both,predictions\kitti\unet_rgb\val,unet_rgb,pred,val,,0.49653579676674364,0.4780600461893764,0.4
kitti,18701.66509997216,2,,9.39269831424623,,33.19053384036856,37.49688384625301,,0.9519737232969326,42.09501870709426,433,433,both,predictions\kitti\unet_rgb\val,unet_rgb,pred,val,,0.5866050808314087,0.5727482678983834,0.5
kitti,22455.095500015887,2,,11.879052431190608,,37.986073914369015,43.84756616820447,,1.33845493028147,50.46781662825493,433,433,both,predictions\kitti\unet_rgb\val,unet_rgb,pred,val,,0.6027713625866051,0.5935334872979214,0.6
kitti,19707.30760000879,2,,6.713864950186898,,25.777298260805917,29.882309991183654,,0.7568680855911225,44.64666697524131,433,433,both,predictions\kitti\unet_rgbd\val,unet_rgbd,pred,val,,0.48267898383371827,0.47113163972286376,0.4
kitti,26449.542499991367,2,,8.505671576784534,,28.59824528432539,32.981639999345255,,0.8647037175792135,60.03116004628196,433,433,both,predictions\kitti\unet_rgbd\val,unet_rgbd,pred,val,,0.5842956120092379,0.5727482678983834,0.5
kitti,31263.74450000003,2,,10.472299869462248,,30.831096135502065,37.26058336774767,,1.304523793053171,70.73932540312347,433,433,both,predictions\kitti\unet_rgbd\val,unet_rgbd,pred,val,,0.6304849884526559,0.6304849884526559,0.6
kitti,16408.79039998981,2,,6.0935678265567095,,26.30943712272011,31.671946325759,,0.7303353132556367,36.650755888848046,433,433,both,predictions\kitti\unet_rgbd_retrain\val,unet_rgbd_retrain,pred,val,,0.7344110854503464,0.7344110854503464,0.4
kitti,18310.463799978606,2,,10.506242166316673,,31.6866405537372,38.7558528939773,,1.1118297818844598,40.67464803727817,433,433,both,predictions\kitti\unet_rgbd_retrain\val,unet_rgbd_retrain,pred,val,,0.8429561200923787,0.8406466512702079,0.6
kitti,15323.660199996084,2,,10.264091429814615,,30.339149093302883,31.10133256652343,,0.4435607516306943,34.78946859220271,433,433,both,predictions\kitti\vit_rgb\val,vit_rgb,pred,val,,0.4226327944572748,0.40877598152424943,0.4
kitti,17312.73639999563,2,,12.935478341341812,,33.668033427940266,38.5493382070554,,0.8145285710542343,38.99795219403537,433,433,both,predictions\kitti\vit_rgb\val,vit_rgb,pred,val,,0.6951501154734411,0.6951501154734411,0.5
kitti,20264.919700013706,2,,14.229348568609973,,32.84534609883197,40.085177411459746,,1.0937203897206196,45.42302078569865,433,433,both,predictions\kitti\vit_rgb\val,vit_rgb,pred,val,,0.8267898383371824,0.8267898383371824,0.6
kitti,18179.34420000529,2,,7.376069744812771,,29.227975413124224,33.72085517639001,,0.6917866199395396,41.093850116203505,433,433,both,predictions\kitti\vit_rgbd\val,vit_rgbd,pred,val,,0.6558891454965358,0.6558891454965358,0.4
kitti,18354.612099996302,2,,9.108226331766101,,29.753311775427225,36.04674151584619,,0.8470147826195951,41.267076905523204,433,433,both,predictions\kitti\vit_rgbd\val,vit_rgbd,pred,val,,0.7967667436489607,0.7967667436489607,0.5
kitti,22671.99420000543,2,,11.885657385853696,,32.370492587232185,39.72318050827005,,1.0762327813611368,50.991185912773695,433,433,both,predictions\kitti\vit_rgbd\val,vit_rgbd,pred,val,,0.8383371824480369,0.8383371824480369,0.6
