threshold,recall,precision,f1
0.0,0.9999999997558577,0.9999999997558577,0.9999994997561114
0.02,0.9999981333526204,0.9999999997555012,0.9999985664402105
0.04,0.9999999997546037,0.9999494521567115,0.9999742182652062
0.06,0.999061782929949,0.9999999997534631,0.9995301238493576
0.08,0.9998162632716922,0.9999886421216176,0.99990192977983
0.1,0.9985610684526516,0.9999904491658976,0.9992746617569547
0.12,0.9986978335217527,0.9999787694992208,0.9993373311537205
0.14,0.9983537693778027,0.9998612836867297,0.9991062475631804
0.16,0.9983166449275718,0.9994567186235711,0.9988854998143092
0.18,0.9980482530440706,0.9990910439854588,0.9985681218429443
0.2,0.9981965954965055,0.9980794838723166,0.998136705313391
0.22,0.9971892886822912,0.9972427983150947,0.997213937222318
0.24,0.996353202034492,0.9970020190464466,0.9966751298376803
0.26,0.9957720630618012,0.9949145369908554,0.995340327681276
0.28,0.9942398565317849,0.9940451757750429,0.9941394067645299
0.3,0.994326520240688,0.9913513682021128,0.9928324259639756
0.32,0.9947007786512106,0.9915040645588277,0.993094566426915
0.34,0.9949643743875713,0.9900880932792945,0.9925142793444338
0.36,0.9956350100661416,0.989920698027958,0.9927611653501103
0.38,0.9958319477552302,0.9877932961172817,0.991784949711657
0.4,0.9945918987912373,0.9852233627054311,0.9898704307473886
0.42,0.9934584587809782,0.9845816090573878,0.9889787299363421
0.44,0.9911280145009884,0.9860838121575303,0.9885745999181924
0.46,0.9900036345060871,0.9862935915613064,0.9881126852295836
0.48,0.9872476793032778,0.9871924853134756,0.9871694823257883
0.5,0.9843557371369906,0.9859036547047602,0.9850542241535126
0.52,0.9782173658732833,0.9868465945892879,0.9824219521367639
0.54,0.971606914944108,0.9830584016000139,0.9771876590948161
0.56,0.9680397984707095,0.9795321822555547,0.9736004746992322
0.58,0.9598196309017976,0.9773637459773667,0.9682848551341608
0.6,0.9533008468991762,0.9773554749550092,0.9648129109726434
0.62,0.9430571088952139,0.9802025352092841,0.9607995214836309
0.64,0.9394778762777777,0.984824144098136,0.9610136952201292
0.66,0.9439580399474635,0.9873429910496461,0.9644718136618162
0.68,0.9539275265648324,0.9853616690174142,0.9687193329982495
0.7,0.9603213843959022,0.985652184364632,0.9722525481699578
0.72,0.9679481264477574,0.9867984414318856,0.9768993775780763
0.74,0.9709533992101645,0.989762451506149,0.980029771031408
0.76,0.9770575203772054,0.9907514890311161,0.9837134973946643
0.78,0.9785960153620692,0.9894224215452575,0.9838750601857918
0.8,0.9858276777122528,0.9863622644558909,0.9859982995989938
0.82,0.9794962522287128,0.9937575925780799,0.9864911225619669
0.84,0.9849190034898334,0.9917853104515496,0.9882354991324825
0.86,0.9952597802032105,0.9905382605307244,0.9928279501173283
0.88,0.9913597743588505,0.9727060192499947,0.9818240397780373
0.9,0.9975375362376967,0.9587491133207589,0.9774693619513967
0.92,0.9887404332967542,0.9217166443896043,0.9537219075063161
0.94,0.9984096276107937,0.9864474050465845,0.9922197278477178
0.96,0.9999998888889047,0.8410131064411713,0.9129363339257021
0.98,0.9999995000002536,0.9949104457169596,0.9969455679394298
1.0,0.0,0.0,0.0
