threshold,recall,precision,f1
0.0,0.9999999997558576,0.9999999997558576,0.999999499756102
0.02,0.9999999997554364,0.9982487277441555,0.9991226832011821
0.04,0.999970431530983,0.9945068219933889,0.997226863389935
0.06,0.9995670672172079,0.9900171242275155,0.9947559769456377
0.08,0.9983883867769519,0.9837306961061548,0.9909760243114177
0.1,0.9964820505654131,0.9771483148348038,0.9866649557974528
0.12,0.9939272891946523,0.968952195182966,0.9811932974427066
0.14,0.9909438074279596,0.959908269895577,0.9750513129463919
0.16,0.9874893404516075,0.9492137043089968,0.9677982781763201
0.18,0.9834119634772545,0.937480481807589,0.9596658830138451
0.2,0.9784449467215989,0.9239960353144986,0.9501427332597543
0.22,0.9721022287158723,0.9095658404943834,0.93941711512687
0.24,0.9628835500580571,0.8939917574572572,0.9266801098494348
0.26,0.9497702404267244,0.8777250303581583,0.9117147909654185
0.28,0.9341648278760147,0.8629268057115085,0.8963533499326196
0.3,0.9153599861082097,0.8473811081276431,0.8789347824760204
0.32,0.8937383519850834,0.8327260050661554,0.8605884770295767
0.34,0.870464269961976,0.8181935885170715,0.8414091441105739
0.36,0.8474594634437929,0.8019747127942566,0.8213200666585191
0.38,0.8257952625771191,0.782141030929534,0.7998106731250205
0.4,0.8056026404795729,0.7607141653425018,0.7781014374466537
0.42,0.7867308220838507,0.7360951386502889,0.7552765638953305
0.44,0.7685751402986253,0.7094416444372392,0.7316087405700831
0.46,0.7505795939392581,0.6796135623368176,0.7060323652241328
0.48,0.7333712868728721,0.6492239968614808,0.6804323258047745
0.5,0.715906702520757,0.6165326968354251,0.6530249107716817
0.52,0.6960731220803825,0.5861055917431576,0.6259057498575601
0.54,0.6730652790952185,0.5540660994861214,0.5962614248505693
0.56,0.6456355414512583,0.5210319606004249,0.5636628434436729
0.58,0.6161108020763301,0.49095165822574216,0.5317314710857608
0.6,0.5856040472529087,0.4635089963788071,0.5008215901592507
0.62,0.5515302473239972,0.4417959361027069,0.47256991065921905
0.64,0.5145814754652972,0.4286089302910038,0.4487539953456151
0.66,0.47723868692079885,0.42223803637126406,0.4283107471616622
0.68,0.441728643405568,0.42001972098348833,0.40999607457734244
0.7,0.41016232521607104,0.42602426673316085,0.3969194207508128
0.72,0.38664624335427744,0.4427945715110027,0.392009109131995
0.74,0.3718145822380222,0.46466130654420695,0.39261413150618196
0.76,0.3691261985779738,0.48245035048703894,0.3979314648105996
0.78,0.37304618351316243,0.49660885169875296,0.404841669128774
0.8,0.3804435721092983,0.5055926049531005,0.41149313616479555
0.82,0.3808641390464982,0.505049787883685,0.4117577782201918
0.84,0.3862588674605043,0.5015752814363076,0.4139231963256958
0.86,0.39159929999585563,0.4945095199308547,0.4152371070662212
0.88,0.3923265237536758,0.4886130235030655,0.41435964839904954
0.9,0.3898843070913566,0.4804519871304772,0.4109369852842116
0.92,0.36038864527891734,0.4671049989649566,0.3908045973919559
0.94,0.2775661099836238,0.46776460436989314,0.3359489398014416
0.96,0.12897497282358175,0.41118975283141235,0.18862230528505497
0.98,0.0,0.0,0.0
1.0,0.0,0.0,0.0
